trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20201023,000001.SH,上证综指,week,周K,3277.997,3245.01465,3110.9578333333334,1.0164006501480527,5.369380609305363,公开指数日线计算（周K最后实际交易日）
20201030,000001.SH,上证综指,week,周K,3224.533,3260.25425,3126.309366666667,-1.0956584137571501,3.141839844150196,公开指数日线计算（周K最后实际交易日）
20201030,000001.SH,上证综指,month,月K,3224.533,,,,,公开指数日线计算（月K最后实际交易日）
20201106,000001.SH,上证综指,week,周K,3312.159,3277.4805,3143.4936333333335,1.058084098440859,5.365538675763615,公开指数日线计算（周K最后实际交易日）
20201113,000001.SH,上证综指,week,周K,3310.105,3294.0082,3159.2139666666667,0.4886690931734661,4.776220760144989,公开指数日线计算（周K最后实际交易日）
20201120,000001.SH,上证综指,week,周K,3377.727,3305.2539000000006,3178.187233333333,2.192663625629465,6.278414455066139,公开指数日线计算（周K最后实际交易日）
20201127,000001.SH,上证综指,week,周K,3408.307,3306.5031500000005,3196.4614,3.0788977170639997,6.627503776519861,公开指数日线计算（周K最后实际交易日）
20201130,000001.SH,上证综指,month,月K,3391.755,,,,,公开指数日线计算（月K最后实际交易日）
20201204,000001.SH,上证综指,week,周K,3444.581,3318.02575,3214.7693,3.8141732323807354,7.148621831121771,公开指数日线计算（周K最后实际交易日）
20201211,000001.SH,上证综指,week,周K,3347.191,3325.5469,3230.7270333333336,0.6508433244468703,3.6048841472844373,公开指数日线计算（周K最后实际交易日）
20201218,000001.SH,上证综指,week,周K,3394.896,3329.7913500000004,3250.098066666667,1.9552171039185273,4.455186593241467,公开指数日线计算（周K最后实际交易日）
20201225,000001.SH,上证综指,week,周K,3396.563,3331.9177499999996,3268.2384666666667,1.9401814465558331,3.9264127952148398,公开指数日线计算（周K最后实际交易日）
20201231,000001.SH,上证综指,week,周K,3473.069,3337.56625,3286.3141333333333,4.05992690032746,5.682806301819965,公开指数日线计算（周K最后实际交易日）
20201231,000001.SH,上证综指,month,月K,3473.069,,,,,公开指数日线计算（月K最后实际交易日）
20210108,000001.SH,上证综指,week,周K,3570.108,3347.0375,3307.993033333333,6.66471469172365,7.9236855708412435,公开指数日线计算（周K最后实际交易日）
20210115,000001.SH,上证综指,week,周K,3566.378,3355.16605,3327.9511666666667,6.295126585463651,7.164372954791465,公开指数日线计算（周K最后实际交易日）
20210122,000001.SH,上证综指,week,周K,3606.75,3367.7352,3348.8578,7.097196953014584,7.700900289047796,公开指数日线计算（周K最后实际交易日）
20210129,000001.SH,上证综指,week,周K,3483.069,3378.87135,3359.866333333333,3.083800453071417,3.666891907108627,公开指数日线计算（周K最后实际交易日）
20210129,000001.SH,上证综指,month,月K,3483.069,,,,,公开指数日线计算（月K最后实际交易日）
20210205,000001.SH,上证综指,week,周K,3496.333,3386.7835,3363.6333666666665,3.234617742763901,3.945127749307531,公开指数日线计算（周K最后实际交易日）
20210210,000001.SH,上证综指,week,周K,3655.088,3408.567,3378.332,7.232394140998255,8.192090061012358,公开指数日线计算（周K最后实际交易日）
20210219,000001.SH,上证综指,week,周K,3696.168,3432.4728000000005,3394.978666666667,7.682368233187442,8.871611957109993,公开指数日线计算（周K最后实际交易日）
20210226,000001.SH,上证综指,week,周K,3509.08,3444.3230000000003,3401.6144333333336,1.8801082244609413,3.159251842700983,公开指数日线计算（周K最后实际交易日）
20210226,000001.SH,上证综指,month,月K,3509.08,,,,,公开指数日线计算（月K最后实际交易日）
20210305,000001.SH,上证综指,week,周K,3501.987,3452.60445,3406.5461666666665,1.4302985098683996,2.8016891204126315,公开指数日线计算（周K最后实际交易日）
20210312,000001.SH,上证综指,week,周K,3453.078,3461.3585000000007,3409.645466666667,-0.23922688158423133,1.273813766209364,公开指数日线计算（周K最后实际交易日）
20210319,000001.SH,上证综指,week,周K,3404.663,3470.3650000000002,3410.4448,-1.893230250996658,-0.1695321384471704,公开指数日线计算（周K最后实际交易日）
20210326,000001.SH,上证综指,week,周K,3418.327,3475.6733999999997,3410.9288,-1.6499363835508651,0.21689693434820967,公开指数日线计算（周K最后实际交易日）
20210331,000001.SH,上证综指,month,月K,3441.912,,,,,公开指数日线计算（月K最后实际交易日）
20210402,000001.SH,上证综指,week,周K,3484.392,3484.3877500000003,3415.229633333334,0.00012197264782631834,2.025116144215522,公开指数日线计算（周K最后实际交易日）
20210409,000001.SH,上证综指,week,周K,3450.677,3488.03525,3421.574,-1.0710399213998745,0.8505734495293682,公开指数日线计算（周K最后实际交易日）
20210416,000001.SH,上证综指,week,周K,3426.618,3488.9508,3424.5249333333336,-1.7865772139865177,0.06111991319710519,公开指数日线计算（周K最后实际交易日）
20210423,000001.SH,上证综指,week,周K,3474.166,3490.43005,3433.0165333333334,-0.4659612072730024,1.1986387559488998,公开指数日线计算（周K最后实际交易日）
20210430,000001.SH,上证综指,week,周K,3446.856,3495.4133,3440.6433333333334,-1.3891719185253448,0.1805670063641296,公开指数日线计算（周K最后实际交易日）
20210430,000001.SH,上证综指,month,月K,3446.856,,,,,公开指数日线计算（月K最后实际交易日）
20210507,000001.SH,上证综指,week,周K,3418.874,3496.6121999999996,3445.5366,-2.2232434011412505,-0.7738301198135566,公开指数日线计算（周K最后实际交易日）
20210514,000001.SH,上证综指,week,周K,3490.376,3501.30285,3450.670533333333,-0.3120795449042535,1.1506594525068081,公开指数日线计算（周K最后实际交易日）
20210521,000001.SH,上证综指,week,周K,3486.557,3501.97725,3457.6225333333336,-0.4403298165343683,0.8368312731572791,公开指数日线计算（周K最后实际交易日）
20210528,000001.SH,上证综指,week,周K,3600.784,3503.51105,3470.1642333333334,2.776441935298024,3.7640802533774442,公开指数日线计算（周K最后实际交易日）
20210531,000001.SH,上证综指,month,月K,3615.477,,,,,公开指数日线计算（月K最后实际交易日）
