code,exchange,name,source,updated_at
000592,SZ,平潭发展,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300647,SZ,超频三,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300107,SZ,建新股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688326,SH,经纬恒润-W,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300368,SZ,汇金股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301300,SZ,远翔新材,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300552,SZ,万集科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300148,SZ,天舟文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600857,SH,宁波中百,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605177,SH,东亚药业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300020,SZ,ST银江,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600199,SH,金种子酒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000676,SZ,智度股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002262,SZ,恩华药业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600415,SH,小商品城,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002769,SZ,普路通,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300300,SZ,海峡创新,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688153,SH,唯捷创芯,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002212,SZ,天融信,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000665,SZ,湖北广电,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688639,SH,华恒生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002537,SZ,海联金汇,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300197,SZ,节能铁汉,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300981,SZ,中红医疗,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300663,SZ,科蓝软件,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600556,SH,天下秀,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002328,SZ,新朋股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688605,SH,先锋精科,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300640,SZ,德艺文创,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002888,SZ,惠威科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
003039,SZ,顺控发展,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000417,SZ,合百集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000059,SZ,华锦股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600108,SH,亚盛集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600280,SH,中央商场,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603613,SH,国联股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300542,SZ,新晨科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603707,SH,健友股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300094,SZ,国联水产,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301218,SZ,华是科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300901,SZ,中胤时尚,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301503,SZ,智迪科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300740,SZ,水羊股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605183,SH,确成股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002400,SZ,省广集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002566,SZ,益盛药业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688378,SH,奥来德,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600715,SH,文投控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600712,SH,南宁百货,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301585,SZ,蓝宇股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600986,SH,浙文互联,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002570,SZ,贝因美,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601579,SH,会稽山,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000859,SZ,国风新材,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300604,SZ,长川科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603020,SH,爱普股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600272,SH,开开实业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002478,SZ,常宝股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603205,SH,健尔康,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601155,SH,新城控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301335,SZ,天元宠物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300494,SZ,盛天网络,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600071,SH,凤凰光学,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000503,SZ,国新健康,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300082,SZ,奥克股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300674,SZ,宇信科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300229,SZ,拓尔思,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002017,SZ,东信和平,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002492,SZ,恒基达鑫,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600829,SH,人民同泰,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300465,SZ,高伟达,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000550,SZ,江铃汽车,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605128,SH,上海沿浦,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000425,SZ,徐工机械,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002724,SZ,海洋王,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002612,SZ,朗姿股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688631,SH,莱斯信息,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300639,SZ,凯普生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300523,SZ,辰安科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603786,SH,科博达,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002177,SZ,御银股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688552,SH,航天南湖,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300892,SZ,品渥食品,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000677,SZ,ST海龙,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002451,SZ,摩恩电气,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600838,SH,上海九百,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
